0.000000,5.000000,0.000000,0.000000,0.000000
0.000000,5.000000,4.000000,4.000000,0.000000
0.050000,4.995804,4.050233,3.949767,0.012544
0.100000,4.983573,4.143942,3.856058,0.012869
0.150000,4.963843,4.225505,3.774495,0.013438
0.200000,4.937150,4.294227,3.705773,0.014170
0.250000,4.904028,4.351041,3.648959,0.014994
0.300000,4.865013,4.637535,3.799019,0.015035
0.350000,4.820642,5.123832,4.117673,0.014467
0.400000,4.771449,5.525111,4.371296,0.014175
0.450000,4.717970,5.854481,4.573408,0.014042
0.500000,4.660741,6.122902,4.734200,0.013999
0.550000,4.600297,6.339192,4.861266,0.014007
0.600000,4.537174,6.510274,4.960224,0.014041
0.650000,4.471907,6.641450,5.035187,0.014082
0.700000,4.405031,6.736661,5.089106,0.014122
0.750000,4.337084,6.798690,5.124014,0.014151
0.800000,4.268599,6.829314,5.141185,0.014167
0.850000,4.200112,6.829399,5.141233,0.014167
0.900000,4.132160,6.798947,5.124159,0.014152
0.950000,4.065278,6.737098,5.089353,0.014122
1.000000,4.000000,6.642079,5.035545,0.014083
1.200000,3.759977,6.310428,4.844495,0.056016
1.400000,3.554425,5.696902,4.477382,0.056376
1.600000,3.383565,4.978108,4.023507,0.058444
1.800000,3.247617,4.358200,3.641800,0.060458
2.000000,3.146800,4.280145,3.719855,0.055993
2.200000,3.081335,4.189800,3.810200,0.052610
2.400000,3.051442,4.089020,3.910980,0.050555
2.600000,3.057341,3.982308,4.017692,0.050022
2.800000,3.099252,3.876061,4.123939,0.051086
3.000000,3.177395,3.776514,4.223486,0.053681
3.200000,3.291990,3.687813,4.312187,0.057626
3.400000,3.443257,3.721978,4.522807,0.060829
3.600000,3.631417,4.261669,5.350057,0.057138
3.800000,3.856689,4.696421,6.059311,0.056015
4.000000,4.119293,5.048237,6.664428,0.056365
4.200000,4.419449,5.335388,7.180993,0.057634
4.400000,4.757378,5.572205,7.623625,0.059515
4.600000,5.133299,5.769653,8.004982,0.061826
4.800000,5.547433,5.936053,8.335604,0.064449
5.000000,6.000000,6.077722,8.624105,0.067310
5.100000,6.240491,6.169011,8.813581,0.034767
5.200000,6.489031,6.216402,8.913081,0.035415
5.300000,6.744008,6.252265,8.988906,0.035940
5.400000,7.003808,6.278036,9.043677,0.036338
5.500000,7.266818,6.294688,9.079196,0.036605
5.600000,7.531424,6.302827,9.096591,0.036738
5.700000,7.796012,6.302740,9.096404,0.036736
5.800000,8.058970,6.294424,9.078630,0.036600
5.900000,8.318684,6.277584,9.042714,0.036331
6.000000,8.573540,6.251610,8.987516,0.035930
6.100000,8.821926,6.215517,8.911216,0.035402
6.200000,9.062228,6.167860,8.811175,0.034752
6.300000,9.292831,6.106586,8.683707,0.033989
6.400000,9.512124,6.028808,8.523744,0.033124
6.500000,9.718493,5.930454,8.324336,0.032175
6.600000,9.910323,5.805716,8.075901,0.031168
6.700000,10.086003,5.646156,7.765103,0.030146
6.800000,10.243918,5.439236,7.373176,0.029177
6.900000,10.382455,5.165878,6.873486,0.028383
7.000000,10.500000,4.796387,6.228288,0.027997
7.000000,10.500000,4.410951,5.589049,0.000000
7.050000,10.550501,4.435187,5.628287,0.014124
7.100000,10.595775,4.167401,5.201489,0.014399
7.150000,10.636245,3.889726,4.774010,0.014849
7.200000,10.672335,3.624872,4.375128,0.015416
7.250000,10.704470,3.657267,4.342733,0.014859
7.300000,10.733073,3.688230,4.311770,0.014401
7.350000,10.758567,3.717083,4.282917,0.014031
7.400000,10.781377,3.743200,4.256800,0.013739
7.450000,10.801927,3.766031,4.233969,0.013515
7.500000,10.820640,3.785127,4.214873,0.013347
7.550000,10.837940,3.800133,4.199867,0.013227
7.600000,10.854251,3.810796,4.189204,0.013148
7.650000,10.869998,3.816945,4.183055,0.013105
7.700000,10.885603,3.818489,4.181511,0.013095
7.750000,10.901490,3.815404,4.184596,0.013116
7.800000,10.918084,3.807737,4.192263,0.013170
7.850000,10.935808,3.795603,4.204397,0.013262
7.900000,10.955086,3.779200,4.220800,0.013397
7.950000,10.976342,3.758816,4.241184,0.013583
8.000000,11.000000,3.734834,4.265166,0.013829
8.000000,11.000000,3.721811,4.278189,0.000000
8.050000,11.006213,3.925830,4.074170,0.012596
8.100000,10.985575,4.234873,3.765127,0.013523
8.150000,10.940610,5.174989,4.150467,0.014422
8.200000,10.873844,6.730320,5.085528,0.014119
8.250000,10.787799,7.690442,5.607234,0.014968
8.300000,10.684999,8.311862,5.924249,0.016060
8.350000,10.567969,8.730117,6.128968,0.017129
8.400000,10.439232,9.017471,6.265720,0.018073
8.450000,10.301313,9.214196,6.357553,0.018842
8.500000,10.156735,9.343503,6.417136,0.019413
8.550000,10.008022,9.418772,6.451537,0.019772
8.600000,9.857698,9.447124,6.464442,0.019913
8.650000,9.708288,9.431115,6.457159,0.019833
8.700000,9.562315,9.369309,6.428954,0.019534
8.750000,9.422303,9.255961,6.376865,0.019020
8.800000,9.290777,9.079677,6.294914,0.018304
8.850000,9.170259,8.820482,6.172310,0.017405
8.900000,9.063274,8.443874,5.989601,0.016364
8.950000,8.972347,7.888643,5.710053,0.015261
9.000000,8.900000,7.041312,5.258906,0.014299
9.100000,8.816693,4.882538,3.961140,0.029434
9.200000,8.811285,4.032419,3.967581,0.025037
9.300000,8.877253,3.650109,4.349891,0.029950
9.400000,9.008077,5.040119,6.650129,0.028171
9.500000,9.197234,5.780941,8.027136,0.030991
9.600000,9.438203,6.171911,8.819647,0.034806
9.700000,9.724463,6.404634,9.316259,0.038576
9.800000,10.049492,6.554012,9.645702,0.041984
